"Case.Study.ID","weight","DEM","AvgTemp","AvgMonthlyPrec","ET","HANPP_Total","HANPP_LC","HANPP_NPP","Livestock","PA","Pop_dense","Pop_delta","GDP","HDI","Market_access","Market_density","Market_influence","Malnutrition","hf_score","hf_rank","pf_score","Mammals","HANPP_forest","HANPP_forest_harvest","HANPP_forest_new","HANPP_pasture","HANPP_pasture_harvest","HANPP_cropland","HANPP_cropland_harvest","tropical.broadleaf.evergreen","temperate.broadleaf.evergreen","broadleaf.deciduous","needleleaf.evergreen","needleleaf.deciduous","C3.grass","C3.crop","C3.pasture","C4.grass","C4.crop","C4.pasture","evergreen.shrubs","deciduous.shrubs","urban","lake","bare.soil","Fire_development_stage"
"29ak",0.383032246708284,1183,22.54649925,100,1876.5,0.104983206,0.049804953,827.7481589,6027.143632,0,967.2065582,305.8094025,1075.46106,0.370000005,0.044800534,271193.5521,69.42120094,270,5.324545455,144.9090909,5.277272727,126,0.05070182,0.065340467,0.0329009,0.046887808,0.046887808,0.772444193,0.15975051,0.080514871,1e-06,1e-06,1e-06,1e-06,1e-06,0.000304296,1e-06,1e-06,0.434033692,0.30000931,1e-06,1e-06,0,0.046197116,0.138931692,"FALSE"
"29al",0.383032246708284,1213,22.5047493,100,1951.75,0.099588266,0.040650345,807.4938713,8030.745834,0,219.6904602,-3.590169271,1075.46106,0.370000005,0.121996959,737984.4965,184.1719785,270,5.324545455,144.9090909,5.277272727,126.75,0.045684791,0.065340467,0,0.054397291,0.054397291,0.756690264,0.174128912,0.080514871,1e-06,1e-06,1e-06,1e-06,1e-06,0.000304296,1e-06,1e-06,0.434033692,0.30000931,1e-06,1e-06,0,0.046197116,0.138931692,"FALSE"
"29am",0.383032246708284,1145,23.41225052,48,1955.25,0.118273718,0.055900992,785.5849368,1861.205102,1,7.193721056,1.700834036,2048.665527,0.370000005,0.02239975,30604.59125,32.60257514,351,5.324545455,144.9090909,5.277272727,155,0.032146419,0,0,0.043871074,0.043282008,0.548155753,0.21577304,4.12e-06,1.71e-06,1e-06,1e-06,1e-06,1e-06,1.57e-05,8.17e-05,0.450589001,0.002673901,0.037191361,2.85e-05,1e-06,0,0.019088835,0.490320235,"FALSE"
"29an",0.3,791,24.45249939,130,1613.25,0.126679775,0.075341479,821.3927788,1401.613751,0,19.37584305,2.655675888,1347.514038,0.370000005,0.23643604,323494.0928,347.799601,285.75,5.324545455,144.9090909,5.277272727,129,0.065340467,0.065340467,0.04707934,0.059161192,0.050310387,0.767918739,0.163880838,0.275183886,1e-06,1e-06,1e-06,1e-06,1e-06,0.000511405,1.51e-05,0.173811555,0.18049787,0.22080861,0.002613944,1e-06,0,0.01101315,0.135538504,"TRUE"
"29ao",0.3,537,25.93975067,158,1710,0.102562539,0.057355557,825.6528479,1122.336397,1,13.25288582,1.816453934,1347.514038,0.370000005,0.05954356,74266.4312,87.76494154,255,5.324545455,144.9090909,5.277272727,132.3333333,0.065105,0.065340467,0.093817249,0.050988052,0.04764259,0.32992549,0.077939792,0.275183886,1e-06,1e-06,1e-06,1e-06,1e-06,0.000511405,1.51e-05,0.173811555,0.18049787,0.22080861,0.002613944,1e-06,0,0.01101315,0.135538504,"TRUE"
"29ap",0.383032246708284,617.5,24.95762539,229,2222.25,0.042650545,0.02564445,754.6366428,52.81815024,1,1.629469633,-0.171510935,2318.339355,0.398000002,0,0,0.149999991,338,5.378333333,146.1666667,5.363333333,134,0.018188443,0.018188443,0.017579164,0.012090847,0.009168468,0.101559272,0.016361797,0.021553379,0.512783349,1e-06,1e-06,1e-06,1e-06,0.018944087,0.014519076,0.020213153,0.198925406,0.191716433,1e-06,1e-06,0,0,0.021339094,"TRUE"
"29aq",0.383032246708284,1082,22.45325089,267,2023,0.089979398,0.061289204,687.6154953,188.7454997,0,47.68621063,6.141716003,2318.339355,0.398000002,0.02607672,38308.788,37.19514061,331.5,5.378333333,146.1666667,5.363333333,130,0.023153986,0.018188443,0.015545265,0.023845642,0.009023434,0.682746462,0.165855773,1e-06,0.404353052,1e-06,1e-06,1e-06,1e-06,1.75e-05,2.75e-06,1e-06,0.141981065,0.399971157,1e-06,1e-06,0,0,0.053666487,"TRUE"
"29ar",0.383032246708284,1133,22.55624962,222,2107.25,0.121593692,0.103023612,704.4783416,361.3696872,1,4.022250652,0.661610126,2318.339355,0.398000002,0.210258161,49705.09213,306.5983121,257.75,5.378333333,146.1666667,5.363333333,127.5,0.017781199,0.018188443,0.022987785,0.018335966,0.00884046,0.386611902,0.075899867,0.024932124,0.455771536,1e-06,1e-06,1e-06,1e-06,5.1e-05,4.45e-06,0.057864774,0.086608522,0.272236794,5.49e-06,1e-06,0,0.013584747,0.088935502,"TRUE"
"29as",0.383032246708284,1307,21.57474899,250,1887.666667,0.172392947,0.144578879,729.4529457,204.4497387,0,10.39890289,2.36178112,2318.339355,0.398000002,0.043677,8996.176,66.47556087,266,5.378333333,146.1666667,5.363333333,129.75,0.018648161,0.018188443,0.01942645,0.075459141,0.008211603,0.644132067,0.173312561,0.029464302,0.608988166,1.18e-06,1.11e-06,1e-06,0.006633536,2.21e-05,0.010318373,0.085898571,0.03845207,0.169836134,0.005832741,3.86e-06,0,0,0.044546904,"FALSE"
"29at",0.383032246708284,1066,22.18549919,199,2074,0.084205615,0.067000579,698.574329,727.8606772,0,47.87838364,5.492666245,2318.339355,0.398000002,0.448298962,857483.948,669.8326173,235.75,6.719090909,95.18181818,6.407272727,124,0.017220821,0.018188443,0.018430367,0.021276701,0.009667502,0.391782031,0.156784959,0.024932124,0.455771536,1e-06,1e-06,1e-06,1e-06,5.1e-05,4.45e-06,0.057864774,0.086608522,0.272236794,5.49e-06,1e-06,0,0.013584747,0.088935502,"FALSE"
